name,lon,lat,value
海门,121.15,31.89,9
鄂尔多斯,109.781327,39.608266,12
招远,120.38,37.35,12
舟山,122.207216,29.985295,12
齐齐哈尔,123.97,47.33,14
盐城,120.13,33.38,15
赤峰,118.87,42.28,16
青岛,120.33,36.07,18
乳山,121.52,36.89,18
金昌,102.188043,38.520089,19
泉州,118.58,24.93,21
莱西,120.53,36.86,21
日照,119.46,35.42,21
胶南,119.97,35.88,22
南通,121.05,32.08,23
拉萨,91.11,29.97,24
云浮,112.02,22.93,24
梅州,116.1,24.55,25
文登,122.05,37.2,25
上海,121.48,31.22,25
攀枝花,101.718637,26.582347,25
威海,122.1,37.5,25
承德,117.93,40.97,25
厦门,118.1,24.46,26
汕尾,115.375279,22.786211,26
潮州,116.63,23.68,26
丹东,124.37,40.13,27
太仓,121.1,31.45,27
曲靖,103.79,25.51,27
烟台,121.39,37.52,28
福州,119.3,26.08,29
瓦房店,121.979603,39.627114,30
即墨,120.45,36.38,30
抚顺,123.97,41.97,31
玉溪,102.52,24.35,31
张家口,114.87,40.82,31
阳泉,113.57,37.85,31
莱州,119.942327,37.177017,32
湖州,120.1,30.86,32
汕头,116.69,23.39,32
昆山,120.95,31.39,33
宁波,121.56,29.86,33
湛江,110.359377,21.270708,33
揭阳,116.35,23.55,34
荣成,122.41,37.16,34
连云港,119.16,34.59,35
葫芦岛,120.836932,40.711052,35
常熟,120.74,31.64,36
东莞,113.75,23.04,36
河源,114.68,23.73,36
淮安,119.15,33.5,36
泰州,119.9,32.49,36
南宁,108.33,22.84,37
营口,122.18,40.65,37
惠州,114.4,23.09,37
江阴,120.26,31.91,37
蓬莱,120.75,37.8,37
韶关,113.62,24.84,38
嘉峪关,98.289152,39.77313,38
广州,113.23,23.16,38
延安,109.47,36.6,38
太原,112.53,37.87,39
清远,113.01,23.7,39
中山,113.38,22.52,39
昆明,102.73,25.04,39
寿光,118.73,36.86,40
盘锦,122.070714,41.119997,40
长治,113.08,36.18,41
深圳,114.07,22.62,41
珠海,113.52,22.3,42
宿迁,118.3,33.96,43
咸阳,108.72,34.36,43
铜川,109.11,35.09,44
平度,119.97,36.77,44
佛山,113.11,23.05,44
海口,110.35,20.02,44
江门,113.06,22.61,45
章丘,117.53,36.72,45
肇庆,112.44,23.05,46
大连,121.62,38.92,47
临汾,111.5,36.08,47
吴江,120.63,31.16,47
石嘴山,106.39,39.04,49
沈阳,123.38,41.8,50
苏州,120.62,31.32,50
茂名,110.88,21.68,50
嘉兴,120.76,30.77,51
长春,125.35,43.88,51
胶州,120.03336,36.264622,52
银川,106.27,38.47,52
张家港,120.555821,31.875428,52
三门峡,111.19,34.76,53
锦州,121.15,41.13,54
南昌,115.89,28.68,54
柳州,109.4,24.33,54
三亚,109.511909,18.252847,54
自贡,104.778442,29.33903,56
吉林,126.57,43.87,56
阳江,111.95,21.85,57
泸州,105.39,28.91,57
西宁,101.74,36.56,57
宜宾,104.56,29.77,58
呼和浩特,111.65,40.82,58
成都,104.06,30.67,58
大同,113.3,40.12,58
镇江,119.44,32.2,59
桂林,110.28,25.29,59
张家界,110.479191,29.117096,59
宜兴,119.82,31.36,59
北海,109.12,21.49,60
西安,108.95,34.27,61
金坛,119.56,31.74,62
东营,118.49,37.46,62
牡丹江,129.58,44.6,63
遵义,106.9,27.7,63
绍兴,120.58,30.01,63
扬州,119.42,32.39,64
常州,119.95,31.79,64
潍坊,119.1,36.62,65
重庆,106.54,29.59,66
台州,121.420757,28.656386,67
南京,118.78,32.04,67
滨州,118.03,37.36,70
贵阳,106.71,26.57,71
无锡,120.29,31.59,71
本溪,123.73,41.3,71
克拉玛依,84.77,45.59,72
渭南,109.5,34.52,72
马鞍山,118.48,31.56,72
宝鸡,107.15,34.38,72
焦作,113.21,35.24,75
句容,119.16,31.95,75
北京,116.46,39.92,79
徐州,117.2,34.26,79
衡水,115.72,37.72,80
包头,110,40.58,80
绵阳,104.73,31.48,80
乌鲁木齐,87.68,43.77,84
枣庄,117.57,34.86,84
杭州,120.19,30.26,84
淄博,118.05,36.78,85
鞍山,122.85,41.12,86
溧阳,119.48,31.43,86
库尔勒,86.06,41.68,86
安阳,114.35,36.1,90
开封,114.35,34.79,90
济南,117,36.65,92
德阳,104.37,31.13,93
温州,120.65,28.01,95
九江,115.97,29.71,96
邯郸,114.47,36.6,98
临安,119.72,30.23,99
兰州,103.73,36.03,99
沧州,116.83,38.33,100
临沂,118.35,35.05,103
南充,106.110698,30.837793,104
天津,117.2,39.13,105
富阳,119.95,30.07,106
泰安,117.13,36.18,112
诸暨,120.23,29.71,112
郑州,113.65,34.76,113
哈尔滨,126.63,45.75,114
聊城,115.97,36.45,116
芜湖,118.38,31.33,117
唐山,118.02,39.63,119
平顶山,113.29,33.75,119
邢台,114.48,37.05,119
德州,116.29,37.45,120
济宁,116.59,35.38,120
荆州,112.239741,30.335165,127
宜昌,111.3,30.7,130
义乌,120.06,29.32,132
丽水,119.92,28.45,133
洛阳,112.44,34.7,134
秦皇岛,119.57,39.95,136
株洲,113.16,27.83,143
石家庄,114.48,38.03,147
莱芜,117.67,36.19,148
常德,111.69,29.05,152
保定,115.48,38.85,153
湘潭,112.91,27.87,154
金华,119.64,29.12,157
岳阳,113.09,29.37,169
长沙,113,28.21,175
衢州,118.88,28.97,177
廊坊,116.7,39.53,193
菏泽,115.480656,35.23375,194
合肥,117.27,31.86,229
武汉,114.31,30.52,273
大庆,125.03,46.58,279
